0: 540,466
399: 616,32,204,57,489,440,19,351
400: 196,165,115,503
401: 296,193,543,238,356,413
402: 429,188,396,155,421,546,118,33
403: 438
404: 474,426,392,512,427
405: 307,518,66,390,529
406: 499
407: 20,29,490
408: 178
409: 209,154,609
410: 386,556,586
411: 289
412: 602,612,187,5,107,113
413: 335,504,311,401,71,543
414: 536,597,353,456,381,31,330,579,103,475
415: 47,104,517,293,352,614
416: 327,548,360,521,15,481
417: 50,364,275,180,249,597,353,563,214,339,210,449
418: 180,249,114,303,237,378,93,449,229,374,197
419: 81,17,344
420: 571,624,173,259,357,541,500,149,203,475,341
421: 267,546,331,439,118,396,402
422: 143,235,204,16,19,248,288
423: 14,360,599,350,327,548
424: 376,67
425: 6,365,476,145,450
426: 128,404,392,427
427: 512,426,404,392
428: 196,216
429: 79,132,188,396,290,542,402,155,546,336,87
430: 3,335,139
431: 20
432: 464,13,31,339,295,12,501,244,623
433: 352,614,172,572,625,264,252,108,153,249
434: 616,110,358,235,226,134,124,570,554,247,470
435: 605
436: 210,449,364,214,374,18
437: 172,378,538,516,572,600,625,264,271,50,180,583
438: 403,198
439: 263,199,185,468,251,118,483,478,421,267
440: 448,162,577,386,57,247,616,399,204
441: 544,208
442: 553
443: 565,386,556,247,24,358
444: 260,331,291,27,11,267,526,59
445: 85,88,83
446: 88,517
447: 152,100,65,593
448: 440,386
449: 210,436,93,417,249,418,374
450: 476,145,71,239,49,425
451: 506,161,97,94,141
452: 89
453: 492,19,233,351,576,489,211,387
454: 573,272,318,60,498
455: 42,383,296,53,102,480
456: 123,28,590,381,330,103,414,357,571,475
457: 345,293,318,108,153
458: 591,146,142,74
459: 602,5,73
460: 176
461: 198,549,264,486,83,271
462: 258,94,141,219,276,97
463: 309
464: 205,200,48,31,432,220,26,623
465: 92
466: 186,286,532,0
467: 
468: 388,185,439,251,622,267,27,136,18
469: 2,589,495,41,224,477,64,125
470: 82,570,554,557,434,358,498
471: 551,528,147
472: 7,577,216,57,491
473: 201,163
474: 128,404,237,512,324,229,197
475: 287,203,456,31,414,353,117,357,149,130,624,420
476: 297,365,95,145,450,343,238,425
477: 2,469,161
478: 179,362,263,199,439,346
479: 176,598,560,289
480: 173,116,613,383,455,296,500,53,102
481: 557,250,321,416
482: 366,206,70,211,54,16,387
483: 11,287,155,203,135,594,267,546,117,179,439
484: 14,151,88,83
485: 
486: 610,83,271,461,264,538
487: 217,292,86
488: 
489: 70,211,19,453,399,204,16
490: 5,6,190,107,407,29
491: 70,472
492: 30,233,44,453,351,36,576
493: 46,103,507,559,117,624
494: 158,355
495: 54,37,162,41,204,589,469
496: 610,314,600
497: 397,588,361
498: 272,454,470,82
499: 406,558,99
500: 296,541,193,343,102,571,173,480,420,145
501: 26,121,244,623,432,295,12,191,133,580
502: 224,358,523,125
503: 194,553,347,400,115
504: 387,106,389,335,413,101,576
505: 615,196,165,37,56,39
506: 451,225,94
507: 257,46,493,103,117,202,537,179,131,550
508: 349,91,385
509: 66,137,257,96,550
510: 221,279,143,48,220
511: 61,397,311,164,184
512: 427,237,170,313,474,404,392,197
513: 388,185,118,136,533
514: 194,347,165,115,127
515: 569
516: 172,378,437,128,303
517: 35,446,415,293
518: 96,307,405,66
519: 74,6,113
520: 136,18,192,58,622
521: 222,360,599,174,548,416,171
522: 258,94,195,587,223,305
523: 611,279,143,235,80,502,315,125
524: 348,292,539,86,593
525: 215,305,90,49,612
526: 59,444,331,542,168
527: 357,193,77,543,51,205,149,306
528: 196,147,471
529: 285,169,405,390,581
530: 48,310,220,124,159,60,221
531: 243,242,34
532: 286,466
533: 136,331,513,118
534: 545,370,39,333
535: 384,578,320,132,596,100
536: 50,414,597,381,579,398
537: 179,131,507,285,550
538: 352,172,437,625,264,610,486
539: 348,371,292,524,621
540: 0
541: 193,343,71,500,149,40,306,420,341,145
542: 429,396,290,546,526,59
543: 527,193,401,71,77,51,311,413
544: 441,208,126
545: 534,333
546: 11,483,155,421,267,429,542,402
547: 70,234,246
548: 327,416,521,599,15,423,171,573
549: 198,461,271,28,588
550: 285,507,509,137,537,131
551: 471
552: 112
553: 503,574,442
554: 226,570,247,557,250,434,470
555: 377
556: 410,443,24
557: 15,250,481,226,327,570,554,470
558: 499
559: 46,493,571,116,613
560: 242,479,111,243
561: 2,261,393,617,212,380,587,208,223
562: 92,242
563: 417,353,214,339,12,210,244,122
564: 30,36,159,253,221,368,48,310
565: 443,162,41,24,236,224
566: 342
567: 34,350,355,278
568: 47,610,23
569: 515
570: 226,124,554,557,434,470
571: 624,173,116,613,420,456,590,559,357,500,53
572: 433,172,378,437,625,249
573: 171,454,548,15
574: 194,553,196
575: 177,22
576: 492,233,453,387,504,101
577: 386,472,57,247,440
578: 336,87,317,146,132,596,290,584,535,59
579: 205,300,31,232,330,339,398,381,536,414
580: 191,142,133,317,501,230,291
581: 390,169,529
582: 337,20
583: 50,180,271,437,600,55
584: 59,317,578
585: 74,5,113,591
586: 410
587: 8,380,561,208,223,258,94,522
588: 61,123,497,28,397,590,549
589: 2,393,469,495,41,16,64
590: 123,456,397,588,357,53,571
591: 458,141,585,74
592: 209,144
593: 524,86,621,213,284,132,65,152,447
594: 11,287,483,135,267,214,260
595: 372,262,307
596: 132,578,535
597: 536,50,275,180,417,414,353,339
598: 176,479,386,216
599: 35,268,360,521,174,548,151,423,171
600: 437,496,269,55,180,583,303
601: 85,160
602: 412,459,187,5
603: 119
604: 149,121,40,239,306,228,130,623,31,120
605: 435,139,9
606: 108,170,104
607: 189
608: 164,253,323
609: 209,409
610: 496,486,83,538,568
611: 279,143,523,80,26
612: 412,258,525,49
613: 571,173,116,480,559
614: 352,433,172,104,415,293,345,108
615: 505,196,140,39,370
616: 434,110,358,235,32,399,204,134,57,247,440
617: 2,322,561,127,261
618: 26,228,276,25,97,191,142
619: 318,60,300,13,281,274
620: 167,340,175
621: 371,292,539,593,213,152
622: 388,468,192,520,136
623: 604,26,121,501,464,31,432
624: 571,420,493,103,117,203,475
625: 352,433,172,437,538,572,264
