0: 540,286,466
517: 754,614,293,572,313,172,89,345,606,108
518: 294,96,262,307
519: 798,585,651,113,661
520: 136,27,18,622,388,513,468
521: 175,599,687,548,174,416
522: 219,258,94,380,602,8,677,305,195,525
523: 64,143,611,279,41,644,764,80,125,25
524: 348,487,621,734,86,799
525: 90,231,389,717,305,522
526: 168,793,535,59,132,396,331
527: 543,149,193,306,559,810,51,330,733,702,31
528: 196,147,471
529: 285,826,66,537,745,581
530: 14,60,252,310,816,829,124,327,720,821,221
531: 243,134,7,577,57,247,159,800,399,32
532: 314,98
533: 325,331,168,382,118
534: 370,607,333
535: 168,793,526,447,132,719,596,578
536: 275,180,414,597,714,339,50,103,507,583
537: 493,613,179,362,745,756,285,529
538: 625,437,572,415,486,352,461,271,568
539: 371,213,487,603
540: 0
541: 149,193,306,500,750,71,40,779,145,450
542: 652,755,701,59,317,444,584
543: 193,401,527,238,590,51,675,71
544: 126
545: 441,694,39,333,370,2
546: 11,483,652,439,59,260,444,421,27,396
547: 70,211,731,482
548: 706,687,521,174,171,318,788
549: 323,253,637,28,772,310,271,368,398
550: 624,456,96,137,626,116,756,664,700,493,179
551: 289,648,411,24,471
552: 112,265,837
553: 
554: 616,629,358,434,443,82,502,470
555: 316
556: 818,410,386,24,670
557: 15,171,272,124,423,454,470,498
558: 761
559: 724,193,527,500,810,831,571,789
560: 111,242,360,226,243
561: 2,587,663,309,653,212,261,656
562: 92
563: 417,714,725,339,432,300,579,12,122,210,274,353
564: 720,310,221,368,36,48
565: 836,670,386,443,204,162,358,502
566: 790,294,837,595
567: 158,744,484,34,813,350,14
568: 600,496,277,437,538,516,809
569: 
570: 226,134,820,124,796,434,774,327,423,15,416
571: 724,559,831,397,789,296,456,757
572: 237,293,437,538,516,517,415,172,352
573: 619,454,457,318,108
574: 514
575: 126,22,783,807
576: 248,704,675,504,679,106,71,77
577: 57,838,247,7,710,800,243,531,399
578: 336,132,719,74,661,100,146,793,535,784
579: 464,737,432,232,300,563,714,339,685,31
580: 317,133,618,26,228,230,142
581: 390,745,529,826,646
582: 337
583: 103,137,507,257,55,610,600,303,75,536,275,180,269,114
584: 291,444,317,542,59,801
585: 798,519,113,661,5,591,424,773
586: 250,410,479,111
587: 2,561,589,469,663,770,477,441,64,315,653
588: 61,123,794,357,590,397,296,795,184
589: 587,127,617,469,393,715,740,819,495,668
590: 123,588,51,296,311,184,842,543,831
591: 742,5,458,798,585,773
592: 722
593: 371,487,621,152,217,695,292
594: 364,417,597,117,725,135,210,436,11,267,251,244,214
595: 342,372,307,566
596: 284,132,719,168,535,447,743,354
597: 536,275,180,417,414,714,117,725,135,339,594
598: 176,838,386,411
599: 360,687,521,175,820,416
600: 610,568,496,303,437,809,186,23,75,583,55,269
601: 85
602: 258,522,612,781,728,677,412,797
603: 759,119,539,348,487
604: 26,733,627,40,779,228,230,31,817,149
605: 777
606: 108,345,754,517
607: 534,333,189
608: 52,511,839
609: 154,722,72,758
610: 21,600,271,496,303,437,50,103,583,55
611: 669,279,644,235,764,80,711,804,295,523,143,191,623
612: 219,258,602,823,187,425,239,797
613: 493,420,537,173,757,480,362,131
614: 754,625,293,437,735,313,808,517,433,378,153,108,249
615: 505,196,236,76,370
616: 221,279,16,629,510,235,32,554,220,110
617: 2,705,127,802,589,715,819,39,165
618: 338,276,25,97,26,580,769,458,462,142
619: 573,454,433,60,153,108,281,630
620: 
621: 371,524,487,654,799,593,650,152
622: 58,763,672,388,520,18
623: 26,733,121,31,669,611,205,711,464,642,804,143
624: 456,137,507,550,684,275,117,135,179,667
625: 614,437,538,808,50,433,264,352,378,271
626: 46,456,507,550,116
627: 604,26,779,228,817,338,120,306
628: 792,780,392,128,846,732,426,237
629: 221,616,510,554,220,272,124,434,470
630: 12,281,498,60,619,454,13,300
631: 86,283,723
632: 241,198,116,639,397,53
633: 840,246
634: 490,803,332,113,107,797
635: 491,673
636: 465,99,499,761
637: 69,762,323,253,549,28,497,639,61,795,198
638: 
639: 403,497,69,637,395,302,241,198,632
640: 365,95,145,750,91,259,150,79
641: 
642: 711,200,432,804,295,12,699,26,121,623,501
643: 
644: 669,422,611,279,235,764,523,143
645: 716
646: 334,390,581,138
647: 130,657,689,244,353,117,685,810,31,475
648: 406,814,411,551,289
649: 688
650: 152,703,371,621,654
651: 87,519,107,661,824,336
652: 483,130,657,542,546,439,755,244,701,59,444,429
653: 315,587,561,663,8
654: 354,213,621,799,447,784,650,384
655: 166,509,729,137,129
656: 261,678,561,8
657: 483,130,689,652,647,244,701
658: 273,45
659: 349,385,328,91,815,683,6,348,734
660: 492,19,690,453,833,822,765,489,751,399,32
661: 74,585,519,651,107,100,336,578,784
662: 262,790
663: 587,561,127,393,366,309,653
664: 38,96,550,116,756,66,131,405
665: 692,786,392,170,404
666: 492,19,233,311,248,704
667: 689,251,624,275,117,135,203,179,202
668: 204,37,495,708,224,505,54,589,715,740
669: 422,611,644,235,681,205,711,464,48,143,623
670: 565,386,556,818
671: 139,746,736,430,178
672: 391,192,763,364,436,58,622,267,388,468,18
673: 489,472,70,54,751,399,491,635
674: 44,163,473,377,164
675: 248,576,106,71,120,543,306
676: 217
677: 522,602,781,195,215,841,412
678: 747,656,441,451
679: 717,413,576,71,238,90,476,344
680: 452
681: 30,19,669,422,51,205,248
682: 338,64,760,315,120,143,288,764,106,77
683: 336,328,6,659,354,734
684: 624,456,507,381,789,791,275,414,117,685
685: 414,714,117,725,791,737,579,684,810,31,647,353
686: 285,832,203,179,362,718,478,727,693
687: 340,599,744,521,548,820,845,416
688: 649,73
689: 483,130,657,667,647,117,475,203
690: 30,19,660,822,765,422,16,32
691: 478,513,185,727,421,263,402,118
692: 512,665,93,698,392,197,374,787
693: 478,199,185,727,202,192,251,686
694: 545,477,236,828,740
695: 292,371,593,152
696: 499
697: 452
698: 741,392,812,197,512,692,474,324,787
699: 295,12,122,642,432,121,501,133
700: 66,96,137,550,257,756
701: 130,657,652,542,755,244,230,317,133,291,444,830
702: 733,31,51,330,205,527
703: 320,67,650,384
704: 576,233,311,666
705: 617,715,819,505,39,165
706: 35,68,446,151,268,548,744,726,318,788
707: 109,187,332,407
708: 204,162,224,668,236,828,469,715,740
709: 428,196,400,147,216
710: 7,577,800
711: 205,464,200,642,804,669,611,295,623
712: 
713: 379,322,177,805,347
714: 563,536,417,414,597,725,339,685,579
715: 705,589,617,740,708,668,39
716: 645
717: 413,101,679,106,71,389,525,90
718: 287,439,203,686,727,155,263
719: 336,132,596,578,535,447,784,354
720: 134,124,821,14,530,310,564,221,48
721: 303,237,735,93,741,392,197,418,474,114
722: 609,758,592
723: 283,385,86,631
724: 193,343,401,500,559,831,571,383,420,757
725: 563,417,597,714,117,135,594,685,244,353
726: 14,318,252,788,816,151,706
727: 478,513,185,691,468,421,693,718,251,686
728: 258,602,781,5,113,412,797
729: 655,137,129,179,202
730: 806
731: 547,163,144,844
732: 780,628,47,227,426,237,516,809,23
733: 604,26,702,31,623,205,143,306,527
734: 354,524,348,799,683,6,659
735: 303,614,237,437,721,313,808,93,180,249
736: 430,671,435
737: 205,464,232,579,330,791,398,414,685,31
738: 
739: 766,72
740: 589,469,715,708,224,668,828,694
741: 698,392,229,128,812,197,303,237,721,474,114
742: 258,5,798,239,113,591
743: 382,65,284,596,168,86
744: 687,567,706,350,845,14,788
745: 537,265,390,581,405,529,826
746: 139,671,389,309,463,178,212
747: 208,678,22
748: 297,95,425,823,49
749: 326
750: 541,193,343,500,95,145,640
751: 399,673,163,351,660,833
752: 253,278,494
753: 
754: 614,313,517,606,93,153,108,249
755: 130,652,542,701,317,87,429,290
756: 550,664,700,66,537,179
757: 493,420,613,456,724,571,131
758: 72,460,609,722
759: 337,349,385,603,348
760: 338,682,315,120,276,106,219
761: 499,558,636,465
762: 69,323,253,52,637,497,61
763: 391,672,58,622
764: 422,611,279,41,644,235,682,64,523,143
765: 690,660,489,399,440,16,32,785
766: 739
767: 37,216,428,505,472,70,54,819
768: 842
769: 94,618,276,97,458,462
770: 587,477,441,843,161,8
771: 844,312,233,4,206
772: 252,264,352,829,253,549,271,398
773: 320,585,591,424
774: 820,796,570,327,845
775: 188,815,346,155,157,263,33
776: 183,409,482
777: 605,139,335
778: 241,46,103,198,55
779: 604,627,40,228,541,149,306
780: 792,628,229,128,846,732,23
781: 459,602,728,677,195
782: 85,160
783: 807,347,575
784: 190,661,719,578,354,213,654,384
785: 422,16,489,19,765,387,393,288
786: 89,313,170,665
787: 58,324,698,197,512,692,374,474
788: 726,318,744,706,548,327,845,423
